Portfolio,Sharpe Ratio,Treynor Ratio
Portfolio 1,0.010327700367524117,0.00021716084919265227
Portfolio 2,0.011821500800537184,0.00021892011380598292
Portfolio 3,0.013436122266073464,0.00021183572656608668
Portfolio 4,0.015185294636427095,0.00028272242422359257
Portfolio 5,0.01708458490297675,0.00027896976956050615
Portfolio 6,0.01915160821739947,0.000265074355754783
Portfolio 7,0.021406243251619016,0.00034828401050187213
Portfolio 8,0.023870797501413552,0.00033901941720143255
Portfolio 9,0.026419543727144536,0.0003183129873176207
Portfolio 10,0.028607944835414532,0.0004138455936685884
Portfolio 11,0.030902973382912407,0.00039906906728267503
Portfolio 12,0.03331045060103605,0.0003715516185881762
Portfolio 13,0.03583631677877535,0.000479407176605051
Portfolio 14,0.03837345217049051,0.00045911871720273297
Portfolio 15,0.04087709417171014,0.000424790249674538
Portfolio 16,0.043462587163116004,0.0005449687591632586
Portfolio 17,0.04612903593863139,0.0005191683667757809
Portfolio 18,0.04887469068763603,0.00047802888057620963
Portfolio 19,0.05169681188990915,0.0006105303416454516
Portfolio 20,0.05462860070615307,0.0005792180163145924
Portfolio 21,0.05766499909470994,0.0005312675114101099
Portfolio 22,0.06080074319107979,0.0006760919239981058
Portfolio 23,0.06403602645067415,0.000639267665761022
Portfolio 24,0.06718077160642,0.000584506142189475
Portfolio 25,0.0702548752982228,0.0007416535063090138
Portfolio 26,0.07336893443511182,0.0006993173151582543
Portfolio 27,0.07649818275468803,0.0006377447729337867
Portfolio 28,0.07952604220068976,0.0008072150886520897
Portfolio 29,0.08257612977345578,0.0007593669646539518
Portfolio 30,0.08564216538058597,0.0006909834038060262
Portfolio 31,0.08871731937456395,0.0008727766710980376
Portfolio 32,0.09179424007185981,0.0008194166141938018
Portfolio 33,0.09486509419228734,0.0007442220346782656
Portfolio 34,0.09792162083276307,0.0009383382535439855
Portfolio 35,0.10095519916448094,0.000879466263733652
Portfolio 36,0.10420857102509948,0.0007974606655418568
Portfolio 37,0.10748054798970481,0.0010038998359680595
Portfolio 38,0.11075222699005399,0.0009395159132431866
Portfolio 39,0.11401671967086366,0.0008506992963867537
Portfolio 40,0.11726680461029322,0.001069461418380336
Portfolio 41,0.12042315618533972,0.000999565562758703
Portfolio 42,0.1235316265951407,0.0009039379272461623
Portfolio 43,0.1266283364394849,0.001135023000821249
Portfolio 44,0.12970883382674125,0.0010596152122972955
Portfolio 45,0.13276857852763332,0.0009571765581172866
Portfolio 46,0.13580296733766656,0.0012005845832658232
Portfolio 47,0.13880736139143773,0.001119664861835887
Portfolio 48,0.1417771151361341,0.001010415188988411
Portfolio 49,0.14470760661793702,0.0012661461657103976
Portfolio 50,0.14759426868695666,0.0011797145113744793
Portfolio 51,0.15043262068581414,0.001063653819859535
Portfolio 52,0.15321830015600832,0.0013317077481549726
Portfolio 53,0.15594709407639631,0.001239764160913071
Portfolio 54,0.1586149691407997,0.0011168924507306594
Portfolio 55,0.16121810058771796,0.0013972693305995465
Portfolio 56,0.16375289911470126,0.0012998138104516627
Portfolio 57,0.16621603544279595,0.0011701310816017835
Portfolio 58,0.16860446214178051,0.0014628309130441208
Portfolio 59,0.17091543238322646,0.0013598634599902549
Portfolio 60,0.17314651535384296,0.0012233697124729075
Portfolio 61,0.17529560813381584,0.0015283924954886954
Portfolio 62,0.17736094392134405,0.0014199131095288468
Portfolio 63,0.17934109656263222,0.0012766083433440318
Portfolio 64,0.18123498142350153,0.0015939540779332702
Portfolio 65,0.18304185271199455,0.001479962759067439
Portfolio 66,0.18476129742856606,0.0013298469742151556
Portfolio 67,0.18639322617975565,0.0016595156603778445
Portfolio 68,0.18793786114112485,0.0015400124086060306
Portfolio 69,0.1893957214947102,0.0013830856050862804
Portfolio 70,0.1907676066947562,0.0017250772428224186
Portfolio 71,0.19173909877571443,0.0016000620581121854
Portfolio 72,0.19254894096806854,0.001436324235891181
Portfolio 73,0.19329702434488488,0.001790638825139305
Portfolio 74,0.19398552976000785,0.0016601117075240037
Portfolio 75,0.19512580354799317,0.0014895628666698156
Portfolio 76,0.19664510493076776,0.001856200407519052
Portfolio 77,0.1980087487392397,0.001720161357048163
Portfolio 78,0.19921805823769642,0.001542801497548087
Portfolio 79,0.20027529174664482,0.0019217619899724275
Portfolio 80,0.20118356920682284,0.001780211006594817
Portfolio 81,0.2020997596574713,0.001596040128457231
Portfolio 82,0.20290495369951037,0.001987323572540835
Portfolio 83,0.2034079500613113,0.0018402606563173688
Portfolio 84,0.20362138568239016,0.0016492787595231147
Portfolio 85,0.20356074775615685,0.002052885155225249
Portfolio 86,0.20324378260030435,0.0019003103060756363
Portfolio 87,0.20257423143073644,0.0017025173905965195
Portfolio 88,0.2015463812988698,0.0021184467379394625
Portfolio 89,0.20024048676551726,0.001960359955880007
Portfolio 90,0.19878074870394233,0.0017557560217097779
Portfolio 91,0.1991507109596255,0.0021840083205932523
Portfolio 92,0.19873648265419466,0.002020409605528741
Portfolio 93,0.1975973603804636,0.0018089946526089627
Portfolio 94,0.19623645232829207,0.00224956990287244
Portfolio 95,0.19455266371032376,0.002080459254716077
Portfolio 96,0.18562393211902303,0.0018622332832357736
Portfolio 97,0.1739568163712023,0.0023151314854067493
Portfolio 98,0.16264824284855317,0.0021405089047112588
Portfolio 99,0.15206658557667627,0.0019154719145994192
Portfolio 100,0.14236814789874264,0.002380693065304261
