Portfolio,Return,Volatility,AAPL,GOOGL,MSFT,AMZN,TSLA,NFLX,JPM,GS,BND,VOO
Portfolio 1,-0.0023555927522708026,0.02700476072239656,2.2231477769807384e-09,0.0,0.0,0.0,1.2351231148954867e-15,6.245004513516506e-16,0.0,9.020562075079397e-16,0.999999997776853,1.249000902703301e-16
Portfolio 2,-0.0022947857932199135,0.026040446094575755,0.03781841672281016,9.71445146547012e-17,0.0,0.0,0.0,0.0,2.220446049250313e-16,1.3183898417423734e-15,0.962181583277191,1.3877787807814457e-17
Portfolio 3,-0.0022339788341690253,0.025083330182188144,0.07563683122247153,9.71445146547012e-17,0.0,0.0,0.0,1.942890293094024e-16,0.0,3.469446951953614e-16,0.9243631687775294,0.0
Portfolio 4,-0.0021731718751181323,0.024134269459554512,0.11345524572213254,3.469446951953614e-16,0.0,0.0,0.0,0.0,0.0,6.800116025829084e-16,0.8865447542778679,0.0
Portfolio 5,-0.0021123649160672397,0.023194252752732746,0.15127366022179434,0.0,0.0,2.636779683484747e-16,5.412337245047638e-16,0.0,4.3021142204224816e-16,5.967448757360216e-16,0.8487263397782061,0.0
Portfolio 6,-0.0020515579570163506,0.0222644256216608,0.1890920747214558,2.636779683484747e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,2.3592239273284576e-16,0.8109079252785448,0.0
Portfolio 7,-0.0019907509979654597,0.0213461196675375,0.22691048922111692,3.191891195797325e-16,0.0,0.0,0.0,4.163336342344337e-17,0.0,1.8041124150158794e-16,0.7730895107788834,1.3877787807814457e-17
Portfolio 8,-0.0019299440301834194,0.020440887585442557,0.26472890915104785,0.0,1.8041124150158794e-16,1.5265566588595902e-16,0.0,1.5265566588595902e-16,1.8041124150158794e-16,0.0,0.7352710908489517,0.0
Portfolio 9,-0.001869137079820592,0.019626649005509103,0.29389996588691547,0.0,0.0,0.005058595623833928,8.326672684688674e-17,0.0,0.0,3.3306690738754696e-16,0.7010414384892509,0.0
Portfolio 10,-0.0018083301204724453,0.019086431261587457,0.29237108213912777,1.3877787807814457e-17,0.010353287754889293,0.017609523802342972,1.3877787807814457e-17,0.0,6.938893903907228e-17,1.5265566588595902e-16,0.67966610630364,0.0
Portfolio 11,-0.001747523161107539,0.018553741821314113,0.29028742761247106,0.0,0.02213823474133364,0.02903763569458037,1.5265566588595902e-16,0.0,0.0,1.5265566588595902e-16,0.6585367019516147,0.0
Portfolio 12,-0.0016867162017426328,0.018024735800198366,0.28820377308581446,1.1102230246251565e-16,0.033923181727778,0.04046574758681779,2.7755575615628914e-17,0.0,0.0,1.6653345369377348e-16,0.6374072975995895,0.0
Portfolio 13,-0.0016259092423777253,0.017499747243552386,0.28612011855915764,8.326672684688674e-17,0.04570812871422238,0.051893859479055275,1.6653345369377348e-16,5.551115123125783e-17,0.0,2.498001805406602e-16,0.616277893247564,0.0
Portfolio 14,-0.0015651022830128216,0.01697914881069664,0.28403646403250127,1.3877787807814457e-17,0.05749307570066696,0.06332197137129283,0.0,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.595148488895539,0.0
Portfolio 15,-0.0015042953236479135,0.01646335697570934,0.28195280950584445,1.3877787807814457e-16,0.06927802268711139,0.07475008326353036,1.942890293094024e-16,0.0,0.0,1.3877787807814457e-16,0.5740190845435135,0.0
Portfolio 16,-0.001443488370654914,0.01595283802718455,0.2798691541242486,6.938893903907228e-17,0.0810629712083715,0.08617819178597746,0.0,6.938893903907228e-17,0.0,1.8041124150158794e-16,0.5528896828814021,0.0
Portfolio 17,-0.0013826814109470212,0.015448114614825956,0.27778549966027244,5.551115123125783e-17,0.09284791806920507,0.09760630389332386,0.0,5.551115123125783e-17,2.7755575615628914e-17,1.1102230246251565e-16,0.5317602783771984,0.0
Portfolio 18,-0.001321874451239128,0.014949773811739009,0.2757018451962961,0.0,0.10463286493003873,0.10903441600067022,2.7755575615628914e-17,0.0,0.0,1.6653345369377348e-16,0.5106308738729949,0.0
Portfolio 19,-0.0012610674914901743,0.014487707721071203,0.2730188020355389,0.0,0.11449537573445177,0.11857413364435454,1.1102230246251565e-16,2.7755575615628914e-17,0.003192666989832338,0.0,0.4907190215958225,0.0
Portfolio 20,-0.0012002605268047204,0.01410629463508772,0.2688007693802231,1.1102230246251565e-16,0.11943466878412826,0.12327781522734979,5.551115123125783e-17,0.0,0.014561518092327475,0.0,0.4739252285159712,0.0
Portfolio 21,-0.001139453567425244,0.013730048313235974,0.26458273607925964,0.0,0.12437396311227261,0.1279814941717707,0.0,0.0,0.025930369037060128,4.163336342344337e-17,0.4571314375996368,0.0
Portfolio 22,-0.001078646608045767,0.013359405258099803,0.26036470277829604,1.942890293094024e-16,0.12931325744041694,0.1326851731161916,0.0,0.0,0.03729921998179278,5.551115123125783e-17,0.44033764668330233,0.0
Portfolio 23,-0.0010178396486841149,0.012999476683110196,0.25610138623365963,8.326672684688674e-17,0.13401424605873932,0.13715551276285654,0.0,2.7755575615628914e-17,0.04829423999311821,2.7755575615628914e-17,0.4237636502672535,0.000670964684372638
Portfolio 24,-0.0009570326895423965,0.012701497801702209,0.2512793182294242,1.1102230246251565e-16,0.13577477254595427,0.13874667100315313,0.0,0.0,0.05467654760262175,8.326672684688674e-17,0.40990170554815364,0.009620985070692978
Portfolio 25,-0.0008962257304006787,0.012407098196727914,0.24645725022518866,8.326672684688674e-17,0.1375352990331691,0.14033782924344967,0.0,0.0,0.06105885521212523,1.1102230246251565e-16,0.3960397608290539,0.018571005457013318
Portfolio 26,-0.0008354187685446503,0.012116538765385487,0.24163518256786568,2.7755575615628914e-17,0.13929582399149754,0.14192898850997168,2.7755575615628914e-17,8.326672684688674e-17,0.06744116178229856,2.7755575615628914e-17,0.38217781549932905,0.027521027649037327
Portfolio 27,-0.0007746118096399201,0.011830102480855916,0.2368131145466738,0.0,0.14105635057407612,0.1435201466833223,0.0,0.0,0.07382346945114016,2.7755575615628914e-17,0.3683158708337364,0.03647104791105121
Portfolio 28,-0.0007138048529755243,0.011548096152230174,0.23199104621248215,5.551115123125783e-17,0.14281687849481375,0.14511130396433936,0.0,0.0,0.0802057780406358,5.551115123125783e-17,0.35445392667175435,0.0454210666159745
Portfolio 29,-0.0006529978938302624,0.011285558612575897,0.22720569079981395,4.163336342344337e-17,0.14405944782503033,0.14619877653938074,0.0022176585365704243,0.0,0.08568068293693144,0.0,0.3413904224846276,0.05324732087764554
Portfolio 30,-0.0005921909346760398,0.011063596443618616,0.22251314915422823,6.938893903907228e-17,0.1439925602938266,0.1460128722695307,0.010041819749594852,0.0,0.0888615666138515,0.0,0.330345470254746,0.058232561664222124
Portfolio 31,-0.000531383975500403,0.010870281148192032,0.21791196592471856,0.0035909177905810025,0.14342129886977126,0.14533792212633972,0.016345328599303627,1.3877787807814457e-17,0.09111979993520977,4.163336342344337e-17,0.3202099955936184,0.06206277116045761
Portfolio 32,-0.00047057701631079263,0.010696866967111814,0.21337040711144684,0.009525422370606634,0.1425208614352463,0.14434379969488292,0.02165639457010468,0.0,0.09277587210705832,0.0,0.3106680849569918,0.06513915775366269
Portfolio 33,-0.0004097700571517619,0.010528260760899997,0.20893595598263537,0.01434583538078664,0.14130308458653124,0.1430432587499692,0.02592604348018679,0.0033784303723620596,0.0938165914308798,0.0,0.30181617518604265,0.06743462483060633
Portfolio 34,-0.0003489630980058962,0.010362683146557602,0.20454761330003518,0.018686646656681183,0.13994869730334036,0.14161080867438028,0.029747376074129722,0.00821123048380304,0.09459240946552636,0.0,0.29326130169181813,0.06939391635028583
Portfolio 35,-0.0002881561388600295,0.010199340644346872,0.2001592706174349,0.023027457932576045,0.13859431002014935,0.1401783585987913,0.033568708668072766,0.013044030595243936,0.09536822750017288,0.0,0.2847064281975935,0.07135320786996534
Portfolio 36,-0.0002273491797141644,0.010038342363156276,0.19577092793483472,0.0273682692084707,0.13723992273695845,0.13874590852320232,0.03739004126201567,0.017876830706684804,0.0961440455348194,0.0,0.2761515547033691,0.0733124993896448
Portfolio 37,-0.00016654222056829864,0.009879802905801538,0.1913825852522346,0.031709080484365326,0.13588553545376753,0.13731345844761342,0.041211373855958626,0.022709630818125714,0.09691986356946594,0.0,0.2675966812091446,0.07527179090932434
Portfolio 38,-0.0001057352614224328,0.009723842540480884,0.18699424256963446,0.03604989176025997,0.13453114817057654,0.1358810083720245,0.045032706449901566,0.027542430929566666,0.09769568160411247,0.0,0.25904180771492,0.07723108242900387
Portfolio 39,-4.4928302276566124e-05,0.009570587353119015,0.18260589988703413,0.04039070303615479,0.13317676088738556,0.13444855829643548,0.04885403904384461,0.03237523104100763,0.09847149963875901,0.0,0.25048693422069546,0.07919037394868336
Portfolio 40,1.5878656882501314e-05,0.009428674341529346,0.17841942554282442,0.04400744234300408,0.13170241675670422,0.1329044318420403,0.05200640309030634,0.03643177173249944,0.0989014004434682,0.0023726047456621435,0.24257589157795256,0.08067821192553841
Portfolio 41,7.668561605585507e-05,0.009299059528599093,0.17445138968969856,0.04684067498597777,0.1300982692454139,0.1312394621693837,0.05443488700152979,0.03964833455655864,0.09895698976203782,0.007312567030962849,0.2353615279728054,0.08165589758563158
Portfolio 42,0.00013749257522920882,0.009172716669024254,0.17048335383657273,0.04967390762895149,0.12849412173412356,0.12957449249672714,0.05686337091275323,0.0428648973806179,0.09901257908060743,0.012252529316263541,0.22814716436765825,0.08263358324572471
Portfolio 43,0.00019829953440256236,0.00904978280180863,0.16651531798344693,0.05250714027192516,0.12688997422283319,0.1279095228240706,0.05929185482397666,0.0460814602046771,0.09906816839917704,0.017192491601564275,0.22093280076251115,0.08361126890581791
Portfolio 44,0.00025910649357591635,0.008930398710336346,0.16254728213032105,0.05534037291489892,0.12528582671154287,0.12624455315141403,0.06172033873520014,0.04929802302873636,0.09912375771774665,0.02213245388686498,0.213718437157364,0.08458895456591106
Portfolio 45,0.00031991345274927016,0.008814708627469936,0.1585792462771952,0.058173605557872585,0.12368167920025253,0.1245795834787575,0.06414882264642358,0.05251458585279557,0.09917934703631627,0.027072416172165714,0.20650407355221687,0.08556664022600424
Portfolio 46,0.0003807204119226236,0.008702859871603057,0.1546112104240694,0.061006838200846306,0.1220775316889622,0.12291461380610094,0.06657730655764701,0.05573114867685481,0.0992349363548859,0.032012378457466406,0.19928970994706974,0.08654432588609735
Portfolio 47,0.0004415273710959772,0.008595002408276257,0.15064317457094356,0.06384007084381994,0.12047338417767187,0.12124964413344441,0.06900579046887043,0.05894771150091404,0.09929052567345552,0.03695234074276714,0.1920753463419226,0.08752201154619055
Portfolio 48,0.0005023343302693311,0.00849128833262306,0.1466751387178177,0.06667330348679368,0.11886923666638152,0.11958467446078785,0.07143427438009389,0.062164274324973255,0.09934611499202511,0.04189230302806784,0.18486098273677543,0.08849969720628371
Portfolio 49,0.0005631412894426847,0.008391871268862294,0.14270710286469185,0.06950653612976737,0.11726508915509118,0.11791970478813128,0.07386275829131736,0.06538083714903248,0.09940170431059474,0.04683226531336855,0.17764661913162835,0.08947738286637687
Portfolio 50,0.0006239482486160388,0.008296905684321254,0.13873906701156596,0.07233976877274109,0.11566094164380084,0.11625473511547472,0.0762912422025408,0.06859739997309174,0.09945729362916436,0.05177222759866931,0.17043225552648117,0.09045506852647005
Portfolio 51,0.0006847552077893925,0.008206546117084719,0.13477103115844014,0.07517300141571479,0.11405679413251049,0.11458976544281818,0.07871972611376424,0.07181396279715097,0.09951288294773397,0.05671218988397001,0.163217891921334,0.0914327541865632
Portfolio 52,0.0007455621669627459,0.008120946318324251,0.1308029953053143,0.07800623405868848,0.11245264662122016,0.11292479577016162,0.08114821002498768,0.07503052562121018,0.0995684722663036,0.061652152169270745,0.1560035283161869,0.09241043984665637
Portfolio 53,0.0008063691261361,0.008040258312661364,0.12683495945218848,0.0808394667016622,0.11084849910992982,0.11125982609750507,0.08357669393621113,0.07824708844526942,0.0996240615848732,0.06659211445457144,0.14878916471103973,0.09338812550674952
Portfolio 54,0.0008671760853094538,0.007964631382523998,0.12286692359906264,0.08367269934463588,0.10924435159863947,0.10959485642484851,0.08600517784743458,0.08146365126932867,0.09967965090344283,0.07153207673987216,0.1415748011058926,0.09436581116684269
Portfolio 55,0.0009279830444828073,0.007894210985310826,0.1188988877459368,0.08650593198760959,0.10764020408734915,0.10792988675219196,0.08843366175865802,0.08468021409338788,0.09973524022201244,0.07647203902517287,0.1343604375007455,0.09534349682693585
Portfolio 56,0.0009887900036561611,0.00782913761519544,0.11493085189281096,0.08933916463058326,0.10603605657605882,0.10626491707953542,0.09086214566988148,0.08789677691744711,0.09979082954058206,0.08141200131047359,0.12714607389559834,0.096321182487029
Portfolio 57,0.0010495969628295145,0.007769545624467633,0.11096281603968514,0.09217239727355697,0.10443190906476847,0.10459994740687886,0.09329062958110491,0.09111333974150634,0.09984641885915167,0.0863519635957743,0.11993171029045122,0.09729886814712217
Portfolio 58,0.0011104039220028686,0.007715562022280047,0.10699478018655928,0.09500562991653067,0.10282776155347814,0.10293497773422232,0.09571911349232837,0.09432990256556557,0.09990200817772128,0.09129192588107501,0.11271734668530407,0.09827655380721534
Portfolio 59,0.0011712108811762223,0.007667305271382261,0.10302674433343345,0.09783886255950437,0.1012236140421878,0.10127000806156576,0.0981475974035518,0.0975464653896248,0.0999575974962909,0.09623188816637573,0.10550298308015695,0.0992542394673085
Portfolio 60,0.0012320178403495761,0.007624884105704969,0.09905870848030758,0.10067209520247808,0.09961946653089745,0.09960503838890919,0.10057608131477527,0.10076302821368405,0.10001318681486052,0.10117185045167648,0.09828861947500976,0.10023192512740167
Portfolio 61,0.0012928247995229298,0.007588396393326349,0.09509067262718175,0.10350532784545179,0.09801531901960711,0.09794006871625265,0.10300456522599871,0.10397959103774328,0.10006877613343014,0.10611181273697719,0.09107425586986262,0.10120961078749482
